,BVP,EDA,ACC_x,ACC_y,ACC_z,TEMP,label
0,0.54247797,0.45002818,0.60234326,0.44611737,0.5921559,0.43155965,0.0
1,0.41717353,0.22674747,0.54852676,0.21570133,0.7965676,0.011172604,0.0
2,0.33977962,0.26125607,0.477081,0.16907357,0.7191862,0.009308008,0.0
3,0.46297854,0.23493284,0.5084955,0.1750332,0.7510454,0.012715031,0.0
4,0.42696524,0.23248342,0.5006905,0.14687988,0.6989248,0.010241373,0.0
5,0.39225352,0.23241518,0.4963459,0.15880339,0.7519868,0.009834778,0.0
6,0.44844803,0.22817263,0.5194751,0.19248028,0.8006236,0.012663107,0.0
7,0.39450204,0.2953113,0.46240848,0.23522793,0.7353417,0.013631763,0.0
8,0.5080966,0.007199086,0.19722287,0.23227675,0.08493333,0.9947791,0.0
9,0.51489353,0.0075720437,0.16885129,0.3082783,0.094041474,0.99211955,0.0
10,0.6005767,0.0061288835,0.23759739,0.26931122,0.09546906,0.9939261,0.0
11,0.5870228,0.009059176,0.1931299,0.32562727,0.0859341,0.9948506,0.0
12,0.44521844,0.25117174,0.48957855,0.20397589,0.74659204,0.008947607,0.0
13,0.5518054,0.0049380274,0.20871392,0.2869213,0.07428303,0.9933096,0.0
14,0.60205024,0.005199947,0.20982234,0.2512797,0.059451107,0.9932261,0.0
15,0.56348574,0.0056587816,0.21021108,0.34864795,0.070361316,0.99319285,0.0
16,0.5381693,0.006350788,0.22201896,0.24877897,0.07512957,0.9929162,0.0
17,0.5819191,0.0052598594,0.2110619,0.29982084,0.050286323,0.99354434,0.0
18,0.5118415,0.0066234916,0.22544317,0.28953707,0.064812034,0.98952615,0.0
19,0.54880464,0.0064205965,0.20080629,0.25708,0.051748443,0.98922044,0.0
20,0.53729725,0.0086516505,0.21163443,0.26892146,0.07276031,0.9932146,0.0
21,0.46215093,0.0055818595,0.2272692,0.2651288,0.06714904,0.9949588,0.0
22,0.59178776,0.007990085,0.2606617,0.26978788,0.052585267,0.9906088,0.0
23,0.5684869,0.0076694596,0.2584555,0.29594022,0.06545545,0.99402267,0.0
24,0.5649663,0.007490915,0.23519844,0.2957056,0.07240074,0.99309784,0.0
25,0.5564888,0.0072514378,0.3033771,0.22851947,0.05971431,0.9929958,0.0
26,0.5808894,0.01488675,0.2073302,0.24434294,0.09039457,0.9947241,0.0
27,0.33202305,0.28613913,0.5805539,0.16602279,0.77170354,0.010611816,0.0
28,0.4031995,0.2528317,0.51586795,0.19304731,0.8354593,0.011854706,0.0
29,0.44526258,0.10958604,0.30187058,0.20018652,0.7565969,0.015263493,0.0
30,0.3867823,0.12994172,0.41221184,0.18224968,0.77765423,0.018702894,0.0
31,0.41017696,0.10429891,0.42931953,0.16827086,0.79062,0.013853598,0.0
32,0.44787198,0.121807516,0.44946924,0.20031318,0.7737432,0.016750976,0.0
33,0.43648914,0.13299254,0.44726914,0.20141907,0.76453763,0.013790779,0.0
34,0.37449092,0.13043708,0.40859976,0.2017959,0.7598269,0.017207801,0.0
35,0.41783077,0.15597,0.47045544,0.17781945,0.79454845,0.013694841,0.0
36,0.42283285,0.12633955,0.40038297,0.20841676,0.777723,0.0160944,0.0
37,0.3787193,0.14511096,0.44091654,0.1754099,0.7932373,0.015433693,0.0
38,0.39472824,0.143477,0.44451085,0.18414807,0.79358804,0.015767917,0.0
39,0.4165,0.1298024,0.48561868,0.20904112,0.7813169,0.015347979,0.0
40,0.4447325,0.21717156,0.4970651,0.14111687,0.80012393,0.010261791,0.0
41,0.44381282,0.14364445,0.42991376,0.22517857,0.7739488,0.013651652,0.0
42,0.4489186,0.15492184,0.5137252,0.19521444,0.76912165,0.015434453,0.0
43,0.40563703,0.17811273,0.43583,0.2096051,0.81255823,0.01577953,0.0
44,0.36593515,0.17285326,0.4258851,0.22307801,0.7561814,0.010771222,0.0
45,0.36851057,0.18268842,0.49087465,0.20390703,0.74741,0.015368502,0.0
46,0.4248988,0.24137712,0.42441854,0.19365598,0.7788887,0.01156428,0.0
47,0.40552792,0.20016639,0.45258686,0.2009542,0.79606616,0.011991189,0.0
48,0.43029952,0.25286856,0.5302698,0.21912317,0.7139359,0.008665063,0.0
49,0.4167126,0.26435038,0.50969577,0.19187927,0.70042616,0.011773581,0.0
50,0.41616294,0.19691545,0.4630679,0.21369377,0.73545796,0.013318554,0.0
51,0.35651776,0.21799958,0.516436,0.20669198,0.7725808,0.009213796,0.0
52,0.3998662,0.25040698,0.5076569,0.1806988,0.7881147,0.010829497,0.0
53,0.41415957,0.17783698,0.45562112,0.22870593,0.8069292,0.015727637,0.0
54,0.39084524,0.113247424,0.39869946,0.23866628,0.7551656,0.016204057,0.0
55,0.5269888,0.0077294433,0.23066612,0.23403844,0.07885998,0.9916735,0.0
56,0.468054,0.006695644,0.31086382,0.23227371,0.07243095,0.99117166,0.0
57,0.5208031,0.022816539,0.32294336,0.15471572,0.07552201,0.9888236,0.0
58,0.6234801,0.008582024,0.38020173,0.14164764,0.123361014,0.9950671,0.0
59,0.5452116,0.009018158,0.38645262,0.17127916,0.13734147,0.9874477,0.0
60,0.578455,0.012121403,0.39471653,0.1656722,0.1735487,0.99310523,0.0
61,0.4980566,0.016116623,0.4037488,0.17854464,0.13724707,0.98841363,0.0
62,0.57372403,0.0149956215,0.42983913,0.19652726,0.16598408,0.9914278,0.0
63,0.5861592,0.015528478,0.32318354,0.15115565,0.13803433,0.9881045,0.0
64,0.5384737,0.01636911,0.37853596,0.17683838,0.13656327,0.99317,0.0
65,0.47982627,0.016624073,0.34301582,0.15600348,0.14042419,0.99307233,0.0
66,0.60434985,0.017990472,0.36709616,0.18419535,0.16279195,0.99256,0.0
67,0.570113,0.009860791,0.3635795,0.18379137,0.16198994,0.9923332,0.0
68,0.4908692,0.009550704,0.42194176,0.1665724,0.09132865,0.9908693,0.0
69,0.55049694,0.021377789,0.5175766,0.4238623,0.83650506,0.07397285,0.0
70,0.6116799,0.021629535,0.5208185,0.45368576,0.81975406,0.111832075,0.0
71,0.6441585,0.025271144,0.517375,0.44674683,0.84498876,0.086022794,0.0
72,0.63682705,0.024920305,0.5100662,0.4939164,0.83413786,0.07691004,0.0
73,0.6071048,0.027527621,0.49975276,0.50267524,0.8252117,0.09021841,0.0
74,0.60008126,0.024744522,0.5030106,0.5368868,0.82745117,0.08856055,0.0
75,0.61773527,0.018779853,0.46948618,0.55268407,0.85754323,0.093512736,0.0
76,0.56439966,0.025511766,0.44473013,0.5354392,0.845259,0.08634782,0.0
77,0.63302994,0.02095357,0.49928504,0.52910805,0.84369856,0.10139507,0.0
78,0.5179571,0.021490421,0.49963048,0.570167,0.8495219,0.09893158,0.0
79,0.6013002,0.021913765,0.45966324,0.49388087,0.8437448,0.11207925,0.0
80,0.59257156,0.02879914,0.44917455,0.5246826,0.86774874,0.100211255,0.0
81,0.6436339,0.025137268,0.5148868,0.44268775,0.8381557,0.09825027,0.0
82,0.5552198,0.011019618,0.30993956,0.2591579,0.11220256,0.9943298,0.0
83,0.5071078,0.012634879,0.38544738,0.17172158,0.10273198,0.99405754,0.0
84,0.5832022,0.0086352825,0.37099022,0.19647248,0.1166621,0.9864239,0.0
85,0.6079909,0.0060537336,0.3428818,0.25204843,0.09222328,0.9927603,0.0
86,0.6183018,0.0057223574,0.30954707,0.2715294,0.08626332,0.9938637,0.0
87,0.6151857,0.016740778,0.39230055,0.20839953,0.08239032,0.9942063,0.0
88,0.52434534,0.008437006,0.3995273,0.2758465,0.09071547,0.9957141,0.0
89,0.5345283,0.008399956,0.46876103,0.26016018,0.11119058,0.9925586,0.0
90,0.5637983,0.006235849,0.3324159,0.23008648,0.087043405,0.9915372,0.0
91,0.5260776,0.012802669,0.4249197,0.22728728,0.08344632,0.98883086,0.0
92,0.572485,0.006285722,0.33923066,0.23260869,0.09589727,0.9916536,0.0
93,0.5882804,0.0087719085,0.31554222,0.16752243,0.08358391,0.9921462,0.0
94,0.5647997,0.010781211,0.38637593,0.23446266,0.070016615,0.9957698,0.0
95,0.56163716,0.012719641,0.28925836,0.20285352,0.09118598,0.9928958,0.0
96,0.55557406,0.0136617115,0.37868106,0.17166682,0.091379076,0.98277044,0.0
97,0.53405267,0.0067805997,0.3294297,0.23108692,0.06765605,0.99156004,0.0
98,0.5937428,0.014734795,0.40426746,0.21196577,0.08488878,0.9927685,0.0
99,0.55547637,0.014101111,0.3718672,0.20958237,0.09180136,0.98973596,0.0
100,0.55951047,0.01393104,0.3749513,0.21318734,0.10809611,0.9925597,0.0
101,0.51975644,0.00746667,0.34931558,0.2162279,0.11692026,0.98966086,0.0
102,0.57130945,0.013426632,0.36774573,0.22569361,0.10644548,0.9894013,0.0
103,0.51636356,0.0123475855,0.306412,0.2325726,0.117247365,0.99333584,0.0
104,0.58895487,0.009685352,0.3104351,0.18773559,0.12390387,0.99139696,0.0
105,0.5163744,0.018782651,0.30499592,0.2001181,0.17834675,0.98801535,0.0
106,0.5523533,0.015818095,0.31080174,0.20095177,0.13425295,0.9931537,0.0
107,0.54611874,0.018877082,0.37987262,0.19631271,0.14214139,0.99094474,0.0
108,0.5486095,0.013592043,0.37355754,0.16532752,0.10870797,0.9913784,0.0
109,0.55603474,0.010510151,0.32844162,0.22577658,0.08142965,0.9896171,0.0
110,0.42281187,0.11409108,0.40591484,0.20745711,0.7730765,0.019128157,0.0
111,0.38504964,0.11168993,0.3216416,0.18890911,0.75257033,0.01894656,0.0
112,0.4457313,0.1277224,0.35455674,0.19543877,0.71480155,0.022513496,0.0
113,0.4117497,0.029577054,0.7348568,0.640795,0.23434328,0.83571607,0.0
114,0.45157465,0.029780107,0.7451496,0.6361419,0.2555908,0.8356317,0.0
115,0.46148923,0.024220364,0.75606877,0.65959495,0.2208359,0.84067684,0.0
116,0.4709267,0.02839879,0.71005523,0.6504549,0.26774114,0.84593487,0.0
117,0.44583783,0.02013841,0.69530517,0.67564464,0.24665296,0.8395306,0.0
118,0.45003787,0.021843106,0.7318932,0.6481898,0.21165581,0.83684534,0.0
119,0.44805282,0.023981398,0.65767276,0.69344294,0.2362809,0.847073,0.0
120,0.4297447,0.02092387,0.7369239,0.690507,0.21183753,0.84160763,0.0
121,0.4371356,0.026080087,0.7442879,0.65835613,0.2189143,0.8267703,0.0
122,0.45827708,0.021439187,0.73451203,0.6899273,0.18485521,0.8399698,0.0
